source,text_or_tokens,detail,manual_category
severity,"হঠাৎ কইরা ডান কানে একদম শুনতে পারতাছি না, কোনো ব্যথা নাই কিন্তু পুরা নিস্তব্ধ হয়া গেছে।",Emergency -> Urgent,
severity,"নাকের ভেতর একটা মাংসপিণ্ড বাড়ছে মনে হয়, যার কারণে এক নাক দিয়া শ্বাস নিতে কষ্ট হয়।",Routine -> Urgent,
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Age (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",Health Condition (missed),
ner,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",Symptom (missed),
ner,"thank you for your question . your serum triglyceride is slightly raised than normal . you should do physical exercise regularly . you might need drug . to confirm this you need to visit a doctor with your reports . avoid fatty food , carbohydrate . thank you .",Symptom (missed),
ner,"amar buke procur beta korteche , heart er doctors o dekhaichi . troponin i and s . creatinine porikka kore chi report valo . akn buker bam pashe veta korteche ki korbo jodi bolten . .",Symptom (boundary_error),
ner,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । হাত কাঁপার অন্যতম কারণ গুলোর মধ্যে থাইরয়েডের সমস্যা , দুশ্চিন্তা বা এনজাইটি ডিসঅর্ডার , ব্রেইনের সেরিবেলাম এর সমস্যা , পারকিনসন ডিজিজ ইত্যাদি উল্লেখযোগ্য । আপনার সমস্যা কি তা জানার জন্য কিছু পরীক্ষা করা দরকার যেমন থাইরয়েড পরীক্ষা । একজন নিউরোলজিস্ট দিয়ে আপনার ব্রেনের কোন সমস্যা হয়েছে কিনা তা জানা দরকার । আপনি একজন নিউরোমেডিসিন বিশেষজ্ঞ কে দেখান । দুশ্চিন্তা করবেন না । চিন্তা করলে হাত কাঁপা বাড়তে পারে ঘুম ঠিকমতো হতে হবে । ধন্যবাদ ।",Health Condition (boundary_error),
ner,"আমার বয়স ৪১ , উচ্চতা ৫ - ৬ "" "" , ওজন ৭০ প্রায় ২ / ৩ বছর যাবৎ পায়ের গোড়ালি তে ব্যথা হয় । দুই পায়েই হয় তবে ডান পায়ে বেশি । হাটাহাটি বেশি করলে ঘুম থেকে ওঠার পরে হাটতে খুব কস্ট হয় । ১ / ২ মিনিট হাটলে আস্তে আস্তে কমে কিন্ত সারাদিনই ব্যথা থেকেই যায় । আমি তেমন কোন ঔষধ খায় নাই এজন্য । অনুগ্রহ করে আমাকে সহযোগিতা করবেন ধন্যবাদ ।",Symptom (missed),
