Text,Categories,Action Needed
বগলে অনেকদিন ধরে একটা পিণ্ড যা ব্যথাহীন কিন্তু ইদানীং ওজনে কমে যাচ্ছি।,Urgent,Seek medical care within 24–48 hours
ত্বকের ছিদ্রে বা পোরস-এ ময়লা জমে ব্রণ হওয়া প্রতিরোধের উপায় সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
শরীরের কোনো ক্ষত স্থানে লার্ভা বা পোকা দেখা যাচ্ছে এবং প্রচণ্ড দুর্গন্ধ।,Emergency,Immediately go to emergency department or call ambulance
কুঁচকির চামড়া খুব লাল হয়ে ফুলে আছে আর প্রস্রাব করতে গেলে জ্বালাপোড়া করে।,Urgent,Seek medical care within 24–48 hours
চামড়ার নিচে বাতাসের বুদবুদের মতো অনুভূতি যা টিপলে চড়চড় শব্দ হয়।,Emergency,Immediately go to emergency department or call ambulance
কুঁচকিতে ঘর্ষণ বা ফ্রিকশনের কারণে চামড়া ছিলে যাওয়ার ঘরোয়া প্রতিকার কী?,General Query,"No immediate action required, informational response sufficient"
ত্বকের ওপর ছোট ছোট লাল বিন্দু (Petechiae) যা টিপলে সাদা হয় না।,Urgent,Seek medical care within 24–48 hours
সারা শরীরের চামড়া হঠাৎ ফ্যাকাশে সাদা হয়ে গেছে আর রোগী নিস্তেজ হয়ে পড়ছে।,Emergency,Immediately go to emergency department or call ambulance
বগলের নিচে কোনো ফোঁড়া অপারেশন করার পর সেখান থেকে অনেক রক্ত বের হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
ত্বকের সুস্থতায় ঘুমের প্রভাব এবং রাত জাগলে চামড়ার কী কী ক্ষতি হয়?,General Query,"No immediate action required, informational response sufficient"
কুঁচকিতে কোনো পিণ্ড যা কাশি দিলে বের হয় কিন্তু শুয়ে থাকলে ভেতরে ঢুকে যায়।,Urgent,Seek medical care within 24–48 hours
চামড়ার ওপর সরু লম্বা দাগ যা মনে হচ্ছে চামড়ার নিচ দিয়ে কোনো পোকা যাচ্ছে।,Urgent,Seek medical care within 24–48 hours
বগলের চামড়ায় চাকা চাকা লাল দাগ যা গরমে খুব চুলকায় আর জ্বলে।,Routine,Schedule a regular medical consultation
কুঁচকির ভাঁজে সাদা দইয়ের মতো আস্তরণ জমে আছে আর প্রচণ্ড দুর্গন্ধ।,Routine,Schedule a regular medical consultation
কুঁচকিতে সরাসরি কোনো আঘাত পাওয়ার পর সেই জায়গাটা একদম অবশ হয়ে গেছে।,Urgent,Seek medical care within 24–48 hours
ত্বকের ডার্মাটাইটিস বা প্রদাহ কমানোর সাধারণ ঘরোয়া টিপস সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
রোগী হঠাৎ অজ্ঞান হয়ে গেছে এবং তার পালস বা নাড়স্পন্দন পাওয়া যাচ্ছে না।,Emergency,Immediately go to emergency department or call ambulance
বুকে প্রচণ্ড ব্যথার সাথে সারা শরীর ঘেমে যাচ্ছে এবং বাম হাত অবশ হয়ে আসছে।,Emergency,Immediately go to emergency department or call ambulance
বাচ্চার খিঁচুনি শুরু হয়েছে এবং সে চোখ উল্টে গোঙানির মতো শব্দ করছে।,Emergency,Immediately go to emergency department or call ambulance
দুর্ঘটনায় রোগীর পা থেকে ফিনকি দিয়ে রক্ত বের হচ্ছে যা কোনোভাবেই থামানো যাচ্ছে না।,Emergency,Immediately go to emergency department or call ambulance
গলায় কিছু আটকে গিয়ে শ্বাস বন্ধ হয়ে আসছে এবং রোগীর ঠোঁট নীল হয়ে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
গর্ভাবস্থায় হঠাৎ অতিরিক্ত রক্তক্ষরণ এবং পেটে প্রচণ্ড মোচড়ানো ব্যথা শুরু হয়েছে।,Emergency,Immediately go to emergency department or call ambulance
উঁচু জায়গা থেকে পড়ে গিয়ে রোগীর কপাল ফেটে মগজ দেখা যাচ্ছে এবং সে অজ্ঞান।,Emergency,Immediately go to emergency department or call ambulance
আগুনে পুড়ে গিয়ে শরীরের চামড়া সাদা হয়ে ঝুলে পড়েছে এবং রোগী যন্ত্রণায় চিৎকার করছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ সারা শরীর বরফের মতো ঠান্ডা হয়ে গেছে এবং রোগী কোনো সাড়া দিচ্ছে না।,Emergency,Immediately go to emergency department or call ambulance
মাথায় প্রচণ্ড আঘাত পাওয়ার পর থেকে রোগী বারবার বমি করছে এবং ঝিমিয়ে পড়ছে।,Emergency,Immediately go to emergency department or call ambulance
"পানির নিচে কয়েক মিনিট ডুবে থাকার পর রোগীকে তোলা হয়েছে, সে শ্বাস নিচ্ছে না।",Emergency,Immediately go to emergency department or call ambulance
"হঠাৎ করে বুকের মাঝখানে মনে হচ্ছে কেউ পাথর চাপা দিয়ে রেখেছে, দম বন্ধ লাগছে।",Emergency,Immediately go to emergency department or call ambulance
প্রচণ্ড অ্যালার্জিক রিয়েকশনে রোগীর মুখ ও গলা ফুলে শ্বাস নিতে খুব কষ্ট হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
রোগীর পেটে ধারালো কিছুর আঘাত লেগে ভুড়ি বের হয়ে এসেছে।,Emergency,Immediately go to emergency department or call ambulance
বিদ্যুতের শট খাওয়ার পর রোগী ছিটকে পড়ে অচেতন হয়ে আছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ করে প্রচণ্ড মাথাব্যথার সাথে রোগীর ঘাড় শক্ত হয়ে গেছে এবং সে বমি করছে।,Emergency,Immediately go to emergency department or call ambulance
সাপ কামড়ানোর পর রোগীর চোখের পাতা নেমে আসছে এবং শ্বাস নিতে কষ্ট হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
বাচ্চার খুব উচ্চমাত্রার জ্বর (১০৫ ডিগ্রি) এবং সে প্রলাপ বকছে।,Emergency,Immediately go to emergency department or call ambulance
রোগীর হার্ট বিট বা হৃদস্পন্দন হঠাৎ বন্ধ হয়ে গেছে বলে মনে হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
অজ্ঞান হওয়ার পর রোগীর জিহ্বা কামড় লেগে প্রচুর রক্তপাত হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ করে রোগী অসংলগ্ন কথা বলছে এবং কাউকে চিনতে পারছে না।,Emergency,Immediately go to emergency department or call ambulance
তীব্র হাঁপানির টানে ইনহেলার কাজ করছে না এবং রোগী নীল হয়ে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
পেটে ছুরিকাঘাতের পর রোগী প্রচুর রক্ত হারিয়ে ফ্যাকাশে হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ করে রোগীর দৃষ্টিশক্তি চলে গেছে এবং সে প্রচণ্ড ভারসাম্যহীন বোধ করছে।,Emergency,Immediately go to emergency department or call ambulance
গলায় মাছের কাঁটা বা কিছু আটকে গিয়ে শ্বাসপথ একদম বন্ধ হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
প্রচণ্ড জ্বরের সাথে রোগীর প্রস্রাব একদম বন্ধ হয়ে গেছে গত ২৪ ঘণ্টা ধরে।,Emergency,Immediately go to emergency department or call ambulance
গর্ভবতী মহিলার পানি ভেঙে গেছে এবং বাচ্চার কোনো নড়াচড়া বোঝা যাচ্ছে না।,Emergency,Immediately go to emergency department or call ambulance
রোগী উচ্চ রক্তচাপের কারণে হঠাৎ নাক দিয়ে প্রচুর রক্তপাত করছে এবং অজ্ঞান।,Emergency,Immediately go to emergency department or call ambulance
অজ্ঞাত কোনো ওষুধ খাওয়ার পর সারা শরীর কাঁপছে আর ঘাম দিচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
বাচ্চার মাথায় সিলিং ফ্যান পড়ে গিয়ে গভীর ক্ষত হয়েছে এবং সে নিস্তেজ।,Emergency,Immediately go to emergency department or call ambulance
রোগীর কান দিয়ে সাদা তরলের সাথে রক্ত বের হচ্ছে এবং সে অচেতন।,Emergency,Immediately go to emergency department or call ambulance
প্রচণ্ড ঠান্ডায় শরীরের তাপমাত্রা কমে গিয়ে রোগী কাঁপতে কাঁপতে নিথর হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
রোগীর পেটে হঠাৎ অসহ্য ব্যথা এবং পেটটা ড্রামের মতো শক্ত হয়ে ফুলে আছে।,Emergency,Immediately go to emergency department or call ambulance
কীটনাশক খাওয়ার পর রোগীর লালা গড়িয়ে পড়ছে এবং শ্বাস নিতে পারছে না।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ মাথায় তীব্র যন্ত্রণার সাথে রোগীর এক চোখ বন্ধ হয়ে গেছে এবং সে কথা বলতে পারছে না।,Emergency,Immediately go to emergency department or call ambulance
অপারেশনের সেলাই খুলে গিয়ে ফিনকি দিয়ে রক্ত বের হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
রোগী নিজের গলায় ফাঁস দেওয়ার চেষ্টা করার পর এখন অচেতন হয়ে আছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ বুক ধড়ফড়ানি বেড়ে গিয়ে রোগী শ্বাস নিতে না পেরে লুটিয়ে পড়েছে।,Emergency,Immediately go to emergency department or call ambulance
বাচ্চা খেলনার ছোট দানা নাকে ঢুকিয়ে ফেলেছে এবং তার দম বন্ধ হয়ে আসছে।,Emergency,Immediately go to emergency department or call ambulance
গাড়ির ধাক্কায় রোগীর পা ভেঙে হাড় বের হয়ে আছে এবং প্রচণ্ড রক্তপাত হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ সারা শরীর খিঁচুনি দিয়ে দাঁত লেগে গেছে এবং মুখ দিয়ে ফেনা বের হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
রোগীর প্রস্রাবের সাথে বড় বড় রক্তের চাকা যাচ্ছে এবং সে প্রচণ্ড দুর্বল।,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ করে রোগীর হৃৎপিণ্ড বন্ধ হওয়ার উপক্রম এবং সে প্রচণ্ড ঘামছে।,Emergency,Immediately go to emergency department or call ambulance
রোগীর পায়ের আঙুল পচে নীল হয়ে গেছে এবং প্রচণ্ড দুর্গন্ধ বের হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
গত দুইদিন ধরে পেটে প্রচণ্ড মোচড়ানো ব্যথা এবং বারবার পাতলা পায়খানা হচ্ছে।,Urgent,Seek medical care within 24–48 hours
প্রচণ্ড জ্বরের সাথে প্রস্রাবে খুব জ্বালাপোড়া এবং তলপেটে কামড়ানো ব্যথা।,Urgent,Seek medical care within 24–48 hours
গত রাত থেকে একটানা কাশি এবং কাশির সাথে হলদেটে ঘন কফ বের হচ্ছে।,Urgent,Seek medical care within 24–48 hours
চোখ লাল হয়ে ফুলে গেছে এবং চোখ দিয়ে ঘন সাদা পিঁচুটি বের হচ্ছে।,Urgent,Seek medical care within 24–48 hours
হাতের আঙুলে ধারালো কিছু লেগে গভীর ক্ষত হয়েছে এবং এখনো হালকা রক্ত ঝরছে।,Urgent,Seek medical care within 24–48 hours
কোমর থেকে পা পর্যন্ত ঝিনঝিন ব্যথায় রোগী সোজা হয়ে দাঁড়াতে পারছে না।,Urgent,Seek medical care within 24–48 hours
হঠাৎ করে খুব বেশি দুর্বল লাগছে এবং দাঁড়াতে গেলেই মাথা ঘুরছে।,Urgent,Seek medical care within 24–48 hours
পায়ের গোড়ালি মচকে গিয়ে প্রচণ্ড ফুলে গেছে এবং পা মাটিতে ফেলা যাচ্ছে না।,Urgent,Seek medical care within 24–48 hours
সারা শরীরের জয়েন্টে প্রচণ্ড ব্যথার সাথে হালকা জ্বর ও কাঁপুনি আছে।,Urgent,Seek medical care within 24–48 hours
গত ২৪ ঘণ্টা ধরে একটানা বমি হচ্ছে এবং রোগী পানি পর্যন্ত পেটে রাখতে পারছে না।,Urgent,Seek medical care within 24–48 hours
পিঠের এক পাশে প্রচণ্ড ব্যথা যা তলপেটের দিকে ছড়িয়ে যাচ্ছে (কিডনি পাথর সন্দেহ)।,Urgent,Seek medical care within 24–48 hours
সারা শরীর ম্যাজম্যাজ করছে এবং ১০২ ডিগ্রি জ্বর সাথে তীব্র মাথাব্যথা।,Urgent,Seek medical care within 24–48 hours
স্তনের এক পাশে শক্ত চাকা অনুভব করছি যা চাপ দিলে খুব ব্যথা লাগে।,Urgent,Seek medical care within 24–48 hours
বাচ্চার সারা শরীরে পানিভর্তি ছোট ছোট ফোসকা দেখা যাচ্ছে (চিকেন পক্স)।,Urgent,Seek medical care within 24–48 hours
হঠাৎ করে উচ্চ রক্তচাপ ১৮০/১০০ হয়ে গেছে এবং মাথা খুব ঝিমঝিম করছে।,Urgent,Seek medical care within 24–48 hours
কুকুরে কামড়ানোর পর সেখানে প্রচণ্ড জ্বালাপোড়া এবং লাল হয়ে আছে।,Urgent,Seek medical care within 24–48 hours
হাত বা পায়ের গিঁট ফুলে গরম হয়ে আছে এবং নড়াচড়া করতে খুব কষ্ট হচ্ছে।,Urgent,Seek medical care within 24–48 hours
দীর্ঘদিন ধরে কাশির সাথে মাঝেমধ্যে রক্তের ছিটেফোঁটা দেখা যাচ্ছে।,Urgent,Seek medical care within 24–48 hours
বাচ্চার কানে কিছু একটা ঢুকেছে এবং সে যন্ত্রণায় ছটফট করছে।,Urgent,Seek medical care within 24–48 hours
প্রসবে সময় হয়ে গেছে এবং নিয়মিত বিরতিতে পেটে ব্যথা উঠছে।,Urgent,Seek medical care within 24–48 hours
চোখের চারপাশ ফুলে গেছে এবং দৃষ্টি কিছুটা ঝাপসা মনে হচ্ছে।,Urgent,Seek medical care within 24–48 hours
প্রচণ্ড রোদে কাজ করার পর মাথা ঘুরছে এবং সারা শরীরে খিঁচুনি লাগছে।,Urgent,Seek medical care within 24–48 hours
বাচ্চার একটানা পাতলা পায়খানা এবং সে বারবার পানি খেতে চাচ্ছে।,Urgent,Seek medical care within 24–48 hours
পেটে তীব্র গ্যাসের ব্যথার সাথে বুক জ্বলছে এবং শ্বাস নিতে অস্বস্তি হচ্ছে।,Urgent,Seek medical care within 24–48 hours
হঠাৎ সারা শরীর ঠান্ডা ঘাম দিয়ে হাত-পা কাঁপছে (Low Sugar সন্দেহ)।,Urgent,Seek medical care within 24–48 hours
বাচ্চার প্রস্রাবের রং গাঢ় লাল বা বাদামী হয়ে গেছে।,Urgent,Seek medical care within 24–48 hours
জিহ্বায় বড় ঘা হয়েছে যার কারণে কয়েকদিন ধরে কিছু খেতে পারছি না।,Urgent,Seek medical care within 24–48 hours
পায়ের হাড় মচকে গিয়ে ভেতরে রক্ত জমে নীল হয়ে গেছে।,Urgent,Seek medical care within 24–48 hours
গর্ভবতী মহিলার পা হঠাৎ খুব বেশি ফুলে গেছে এবং মাথা ঘুরাচ্ছে।,Urgent,Seek medical care within 24–48 hours
গত এক সপ্তাহ ধরে পায়খানার সাথে উজ্জ্বল লাল রক্ত যাচ্ছে।,Urgent,Seek medical care within 24–48 hours
মাথার এক পাশে প্রচণ্ড ব্যথার সাথে বমি বমি ভাব এবং আলো সহ্য হচ্ছে না।,Urgent,Seek medical care within 24–48 hours
বাচ্চার জ্বর ১০৪ ডিগ্রি হয়ে গেছে এবং সে কিছুই খাচ্ছে না।,Urgent,Seek medical care within 24–48 hours
হঠাৎ কপালে ও চোখের নিচে প্রচণ্ড চাপ অনুভব করছি এবং নাক বন্ধ।,Urgent,Seek medical care within 24–48 hours
পায়ের বাছুর পেশিতে প্রচণ্ড ব্যথার সাথে পা ফুলে লাল হয়ে আছে।,Urgent,Seek medical care within 24–48 hours
খুব ক্লান্তি এবং সারাক্ষণ বুক ধড়ফড় করার সাথে শ্বাস নিতে কষ্ট।,Urgent,Seek medical care within 24–48 hours
শরীরে প্রচণ্ড চুলকানি যা রাতের বেলা অনেক বেশি বেড়ে যায়।,Urgent,Seek medical care within 24–48 hours
বাচ্চার পেট কামড়ানো ব্যথার সাথে কান্নাকাটি এবং পেট খুব শক্ত।,Urgent,Seek medical care within 24–48 hours
হঠাৎ করে গলার স্বর বসে গেছে এবং কথা বলতে খুব কষ্ট হচ্ছে।,Urgent,Seek medical care within 24–48 hours
পায়ের পাতার নিচে বড় ধরণের কাটা যা ড্রেসিং করা প্রয়োজন।,Urgent,Seek medical care within 24–48 hours
হঠাৎ করে প্রচণ্ড মাথাব্যথা আর বমি হওয়ার পর রোগী অচেতন হয়ে পড়েছেন।,Emergency,Immediately go to emergency department or call ambulance
দুর্ঘটনায় রোগীর পেট থেকে ভুড়ি বের হয়ে এসেছে এবং সে যন্ত্রণায় ছটফট করছে।,Emergency,Immediately go to emergency department or call ambulance
বাচ্চার গলায় ছোট খেলনা আটকে গিয়ে দম বন্ধ হয়ে আসছে এবং মুখ লাল হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
পেটে প্রচণ্ড ব্যথার সাথে একটানা বমি হচ্ছে আর রোগী নিস্তেজ হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
