source,text_or_tokens,detail,manual_category
severity,"ঘুম থেইকা উইঠাই দেখি এক চোখের পাতা পুরা ঝুইলা পড়ছে, অনেক চেষ্টা করেও চোখ মেলতে পারতাছি না।",Emergency -> Urgent,
severity,"নাকের ভেতর খুব বাজে গন্ধ পাওয়া যায় এবং সবসময় সর্দি লেগে থাকে, কপালও ভারী লাগে।",Urgent -> Routine,
severity,নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে আর কথা বলতে সমস্যা হচ্ছে,Urgent -> Emergency,
severity,"জিহ্বা আর তালু একদম অবশ হয়ে গেছে, কোনো স্বাদ পাচ্ছি না আর কথা বলতেও কষ্ট হচ্ছে।",Emergency -> Urgent,
severity,বগলে চুলকানির পর সেই জায়গাটা কালো হয়ে পুরু হয়ে গেছে (leather-like skin)।,Routine -> Urgent,
severity,শরীরের কোনো অংশে বড় কোনো ফোলা যা পালস বা স্পন্দনের সাথে দপদপ করে।,Urgent -> Routine,
severity,ঘাড়ের ব্যথার সাথে হাত অবশ হয়ে আসছে এবং আঙুলের জোর পাচ্ছি না।,Urgent -> Emergency,
severity,বাচ্চার কাশির সময় পিঠে শব্দ হয় (wheezing) আর সে খুব অস্থির হয়ে থাকে।,Urgent -> Routine,
severity,বিড়াল বা কোনো বন্য প্রাণী আঁচড়ানোর পর জায়গাটা লাল হয়ে ফুলে জ্বলছে।,Urgent -> Routine,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,হুট করে সারা পিঠে আর বুকে লাল লাল ছোট ফোসকা বাইর হয়া তীব্র জ্বালাপোড়া করতাছে সোজা হইতে পারি না।,Urgent -> Routine,
severity,দা দিয়া হাত কাটার পর রক্ত বন্ধ হইছে কিন্তু জায়গাটা নীল হয়া ফুইলা গেছে আঙুল নাড়ানো যায় না।,Urgent -> Emergency,
severity,রাস্তার বিড়াল বা শিয়াল আঁচড়ানোর পর জায়গাটা লাল হয়া ফুইলা গেছে আর তীব্র জ্বালাপোড়া করতাছে।,Urgent -> Routine,
severity,স্তনের নিচে একটা শক্ত দলা বা গিঁট অনুভব করতাছি যা চাপ দিলে রগে টান লাগার মতো ব্যথা করে।,Urgent -> Routine,
severity,বগলে চুলকানির পর সেই জায়গাটা কালো হয়ে পুরু হয়ে গেছে (leather-like skin)।,Routine -> Urgent,
severity,শরীরের কোনো অংশে বড় কোনো ফোলা যা পালস বা স্পন্দনের সাথে দপদপ করে।,Urgent -> Routine,
severity,ঘাড়ের ব্যথার সাথে হাত অবশ হয়ে আসছে এবং আঙুলের জোর পাচ্ছি না।,Urgent -> Emergency,
severity,বাচ্চার কাশির সময় পিঠে শব্দ হয় (wheezing) আর সে খুব অস্থির হয়ে থাকে।,Urgent -> Routine,
severity,বিড়াল বা কোনো বন্য প্রাণী আঁচড়ানোর পর জায়গাটা লাল হয়ে ফুলে জ্বলছে।,Urgent -> Routine,
severity,বাচ্চার মাথায় গভীর ক্ষত হওয়ার পর সেখান থেকে সাদা তরল বের হচ্ছে।,Emergency -> Urgent,
severity,"হঠাৎ সারা মুখ আর চোখ ফুলে গেছে, কোনো কারণ বুঝতে পারছি না।",Urgent -> Emergency,
severity,গত দুইদিন ধরে প্রস্রাব এক ফোঁটাও হয় নাই শরীর ফুইলা বেলুন হয়া গেছে পেট শক্ত ড্রামের মতো।,Emergency -> Urgent,
severity,হুট করে সারা পিঠে আর বুকে লাল লাল ছোট ফোসকা বাইর হয়া তীব্র জ্বালাপোড়া করতাছে সোজা হইতে পারি না।,Urgent -> Routine,
severity,দা দিয়া হাত কাটার পর রক্ত বন্ধ হইছে কিন্তু জায়গাটা নীল হয়া ফুইলা গেছে আঙুল নাড়ানো যায় না।,Urgent -> Emergency,
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Age (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আমি < name > । আমার বয়স 27 বছর । সাম্প্রতিক সময়ে আমি আমার শরীরে অস্বস্তি ভোগ করছি , সেই সাথে একাধারে মাটিতে বসে থাকলে মাজার দুই সাইড অবশ অনুভূত হয় , আবার পুরো শরীরে ক্লান্তি অনুভব হয় , একটু হাটলেই মনে হয় ক্লান্ত হয়ে গেছি , আগের থেকে শরীরের ওজন বৃদ্ধি পেয়েছে , পেটে প্রচুর গ্যাস্ট্রিকের সমস্যা , খাবার বেশি খেতে পারিনা প্রস্রাবের পরিমাণ অনেকটা কমে গেছে যেটুকু হয় হলুদ বর্ণের অতিরিক্ত গ্যাসে পেট ফুলে থাকে এবং প্রচুর বায়ু বের হয় এক্ষেত্রে আমার করনীয় কি বুঝে উঠতে পারছিনা একটু জানাবেন ধন্যবাদ",Symptom (boundary_error),
ner,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",Symptom (missed),
ner,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",Health Condition (missed),
ner,"আপনার প্রশ্নের জন্য ধন্যবাদ । দুশ্চিন্তা কমান , পর্যাপ্ত বিশ্রাম নিন । পানিশূন্যতা আছে শরীরে । আপনি তরল খাবার , স্যালাইন , তরমুজ , শসা , ডাবের পানি খাবেন । কোলেস্টেরল বাড়লে হার্ট এটাক , স্ট্রোকের ঝুঁকি বাড়ে । রোগীর সাথে সরাসরি কথা বলে হিস্ট্রি নিয়ে সমস্যা শুনে সমাধান দিতে হবে । বিশদ আলোচনার জন্য আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ",Health Condition (missed),
ner,"thank you for your question . your serum triglyceride is slightly raised than normal . you should do physical exercise regularly . you might need drug . to confirm this you need to visit a doctor with your reports . avoid fatty food , carbohydrate . thank you .",Symptom (missed),
ner,বেশ কয়েকদিন যাবত গলায় খুব ব্যাথা সেই সাথে কাশি হয় । কাশির সাথে ঘন কফ বেরহয় আর বুকে খুব ব্যাথা হয় । জর ও আছে ।,Symptom (boundary_error),
ner,"amar buke procur beta korteche , heart er doctors o dekhaichi . troponin i and s . creatinine porikka kore chi report valo . akn buker bam pashe veta korteche ki korbo jodi bolten . .",Medical Procedure (boundary_error),
